Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Form_Factor,Connectivity_Type
Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired
"Jabra Engage 65 Wireless Headset, Mono – Telephone Headset with Industry-Leading Wireless Performance, Advanced Noise-Cancelling Microphone, Call Center Headset with All Day Battery Life","₹77,914","57,914",Jabra,Engage 65 Mono,Black,On Ear,Wireless
"Jabra Elite 3 in Ear Bluetooth Truly Wireless in Ear Earbuds, Noise Isolating with mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode - Dark Grey","₹6,999","4,499",Jabra,Elite 3,Dark Grey,nan,nan
"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver, Built in Microphone and Type C(Blue)","₹3,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (Blue),Blue,In Ear,Wireless
"(Renewed) boAt Airdopes 402 Bluetooth Truly Wireless In Ear Earbuds with Bluetooth V5.0, Advanced Touch Controls, Instant Voice Assistant, Up to 16H Total Playtime and IPX4 Water Resistance with mic (Active Black)",,,boAt,Boat Airdopes 408,Black,In Ear,Wireless
"Zebronics Zeb-Lark Metallic Wireless in Ear Neckband Earphone with BT 5.0, Rapid Fast Charging (Metallic Red)","₹1,449",799,ZEBRONICS,ZEB-LARK,Metallic Red,In Ear,Wireless
"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones (Gunmetal Black) & Wave Call Smart Watch, Smart Talk (Active Black) & Xtend Talk with Advanced Dedicated Bluetooth Calling Chip,(Teal Green)",,,boAt,,Gunmetal Black,In Ear,Wireless
"Skullcandy Dime True Wireless in-Ear Bluetooth Earbuds Compatible with iPhone and Android/Charging Case and Microphone/Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Dark Green","₹7,499","2,688",Skullcandy,Dime,Blue Green,In Ear,Wireless
"Noise Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental Cancellation with Dual mic, Fast Charging (Stone Blue)","₹3,999","1,799",Noise,Flair,Stone Blue,In Ear,Bluetooth
Meyaar Beex Series Earphones with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Game Experience for All Headphone with Carry Case (Black),₹999,239,Meyaar,Meyaar-Made-in-India-with-Case,With Carry Case,In Ear,Wired
Jabra 2400 II Duo USB MS BT Wireless In Ear Bluetooth Headset with Mic - Black,"₹22,974","8,500",Jabra,,Black,On Ear,Wireless
"Portronics Conch 70 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Pink)",₹599,349,Portronics,Conch 70,Pink,In Ear,Wired
"Meyaar Beex Abhinandan Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet (Metal Black)",₹999,119,Meyaar,Abhinandan,Metal Black,In Ear,Wired
(Renewed) Portronics Harmonics Twins S2 Wireless Sports Earbuds Bluetooth 5.0 I Voice Assistant I 20 Hrs Playtime with Case I Type C Charging (Green),,,Portronics,Harmonics Twins S2,Green,nan,Wireless
"ZEBRONICS Zeb-Buds C2 in Ear Type C Wired Earphones with Mic, Braided 1.2 Metre Cable, Metallic Design, 10mm Drivers, in Line Mic & Volume Controller (Red)",₹699,399,ZEBRONICS,Zeb Buds C2 (Red),Red,In Ear,Wired
"Skullcandy Jib True Wireless Earbuds with 22 Hours Total Battery, IPX4 Sweat and Water Resistant, Use Either Bud Solo, Dual Microphones, Noise-Isolating Fit,Call, Track and Volume Control (Orange Black)","₹8,999","3,299",Skullcandy,Jib TWS,Orange Black,In Ear,Wireless
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (Black)","₹3,299",699,PTron,Bassbuds,Black,In Ear,Bluetooth 5.1
Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown),"₹1,299",549,Boult Audio,BassBuds,Brown,In Ear,Wired
"ZEBRONICS Zeb-Bang Pro Bluetooth Wireless On Ear Headphones with Mic V5.0, 30H Backup, Foldable, Call Function, Voice Assistant, Built-in Rechargeable Battery, Type C, 40Mm Driver and Aux (Orange)","₹2,499","1,199",ZEBRONICS,Zeb- Bang Pro (Orange),Orange,On Ear,Wireless
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode & Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Black)",,,boAt,,Black,In Ear,Wireless
"Jabra Evolve2 75 PC Wireless Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Adjustable Advanced Active Noise Cancelling, USB-C Bluetooth Adapter and UC Compatibility - Black","₹48,212","43,500",Jabra,Evolve2 75,Black,On Ear,Wireless
"ZEBRONICS Zeb-Sound Bomb N1 True Wireless in Ear Earbuds with Mic ENC, Gaming Mode (up to 50ms), up to 18H Playback, BT V5.2, Fidget Case, Voice Assistant, Splash Proof, Type C (Midnight Black)","₹4,199",999,ZEBRONICS,ZEB-SOUND BOMB N1 (MIDNIGHT BLACK),Midnight black,In Ear,Wireless
"(Renewed) boAt BassHeads 950v2 Wired Over Ear Headphones with 40mm Audio Drivers, Soft Ear-Cushion, Lightweight Build, 3.5mm Jack and with mic(Warm Grey)",,,boAt,Bassheads 950v2,Warm Grey,Over Ear,Wired
