,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
0,(Renewed) boAt Rockerz 550 Bluetooth Over-Ear Wireless Headphone with Ergonomic Aesthetics Plush Padded Earcups Immersive Audio Bluetooth v5.0 & Upto 20H Playback (Black),,boAt,Rockerz 550,Active Black,Over Ear,Wireless,,,,,,,,,,,
1,"Newly Launched Boult Audio Z25 with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), 13mm Rich Bass Drivers, Zen™ ENC Mic, TWS Bluetooth 5.3 True Wireless Airbass Earbuds (Blue Moss)","1,298",Boult Audio,AirBass,Blue Moss,In Ear,Wireless,,,,,,,,,,,
2,ZEBRONICS Zeb-Bang Bluetooth Wireless Over Ear Headphones with Mic (Orange),699,ZEBRONICS,Zeb-Bang,Orange,Over Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,
3,"Earphones Headphones for Xiaomi Redmi Note 9 Pro Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (MP9-831, Black)",NaN,Shop Reals,Xiaomi Redmi Note 9 Pro,Multicolour,In Ear,Wired,,,,,,,,,,,
4,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
5,"Mivi Collar Flash Bluetooth Wireless in Ear Earphones,24 Hours Battery Life, Booming Bass, IPX4 Sweat Proof, Passive Noise Cancellation, Bluetooth 5.0 with mic (Red)",899,Mivi,Collar Flash,Red,In Ear,Wireless,,,,,,,,,,,
6,"ZEBRONICS Zeb-Thunder Wireless Bluetooth Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Brown)",599,ZEBRONICS,Zeb-Thunder(brown),Brown,Over Ear,"Wireless, Wired",,,,,,,,,,,
7,"Boult Audio X30 True Wireless in Ear Earbuds with 40H Playtime, Quad Mic ENC, 45ms Xtreme Low Latency, Made in India, Type-C Fast Charging, 3 Equalizer Modes (Rock, BoomX, Hi-Fi), BT 5.1 (Blue)","1,499",Boult Audio,AirBass,Blue,In Ear,Wireless,,,,,,,,,,,
8,"UBON Earphones with Mic, Sports Series UB-113, in Ear Wired Headphone for Extra Bass & HD Sound, 10mm Dynamic Driver, 3.5 mm Audio Jack Compatible with Mobile Phones, Tablets & Laptops (Yellow)",199,UBON,Sports Series,Yellow,In Ear,Wired,,,,,,,,,,,
9,"Wireless Bluetooth Headphones Earphones for Samsung Galaxy A53 5G Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Calling inbuilt With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( SPT15,RKZ-335,BLACK)",449,Shop Reals,Samsung Galaxy A53 5G,Mix,In Ear,Wireless,,,,,,,,,,,
10,"GoSale Wireless Bluetooth Headphones Earphones for Samsung Galaxy A12 / A 12, A22 / A 22, F12 / F 12, F41 / F 41, F62 / F 62, Fold Lite, M12 / M 12, M12s / M 12 s Earphone Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (HBS1, Multi)","1,299.",GoSale,,Multicolour,In Ear,Bluetooth,Bluetooth,,,,,,,,,,
11,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",599,CableCreation,,"Gold, White, Black",,Auxiliary,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,
12,"Boult Audio Truebuds with 30H Playtime, IPX7 Waterproof, Made in India, Type C Fast Charging (10Min=100Mins), Rich Bass, Pro+ Calling HD Mic, IPX5 Airbass Bluetooth True Wireless Earbuds (Grey)","1,199",Boult Audio,AirBass,Grey,In Ear,Wireless,,,,,,,,,,,
13,"UBON Earphones Bluetooth Headphones CL-5610 Platinum Series, Wireless Neckband with Up to 25 Hours Playtime, TF Card Slot, Magnetic Earbuds, v5.0 Bluetooth Headset for Hi-Fi Music & Super Bass",799,UBON,CL-5610,Multi,In Ear,Wireless,,,,,,,,,,,
14,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
15,"ZEBRONICS Zeb-Thunder Bluetooth Wireless On Ear Headphone FM, mSD, 9 hrs Playback with Mic (Neon Yellow)",599,ZEBRONICS,Zeb-Thunder (Neon Yellow),Neon Yellow,On Ear,"Wireless, Wired",,,,,,,,,,,
16,ZEBRONICS Zeb-Bang Wireless Bluetooth On The Ear Headphone with Mic and Playback time 16 hrs (Black),"1,199",ZEBRONICS,Zeb-Bang,Black,On Ear,Wireless,,,,,,,,,,,
17,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
18,"JBL Tune 175BT, Wireless Bluetooth in-Ear Headphone with Mic, Pure Bass Sound, 14 Hours of Playtime, Multi-Point Connectivity, Voice Assistant Support, Bluetooth 5.0 (Blue)","2,299",JBL,Tune,Blue,In Ear,Wireless,,,,,,,,,,,
19,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",BoAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
20,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)",149,ZEBRONICS,Zeb-Bro,Black,In Ear,Wired,,,,,,,,,,,
21,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
22,Boult Audio Bass Buds Q2 Lightweight Stereo Wired Over Ear Headphones Set & Bassbuds Loop Wired in Ear Earphones with Mic with 12Mm Powerful Driver for Extra Bass with Customizable Ear Loop,,Boult Audio,,Black,"Over Ear, In Ear",Wired,,,,"over-ear, earhook, in-ear",,,,,,,
23,"JBL Tune 760NC,Over Ear Active Noise Cancellation Headphones with Mic,up to 50 hrs Playtime,Pure Bass,Google Fast Pair,Dual Pairing,Bluetooth 5.0,AUX & Voice Assistant Support for Mobile Phones(White)","5,499",JBL,Tune,White,Over Ear,Bluetooth 5.0,,,,,,,,,,,
24,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)",599,JBL,C100SI,Red,In Ear,Wired,,,,,,,,,,,
25,(Renewed) Jabra Elite 45h Wireless On-Ear Headphone With Mic (Copper black),,Jabra,,Copper black,On Ear,Wireless,Bluetooth,,,,,,,,,,
26,"UBON Wireless Headphone with Mic, BT-5750 Oscar Series, On Ear Bluetooth Headset, Up to 8 Hrs Playtime, 40mm Driver, Hi-Fi Music & Heavy Bass, Noise Isolation, Support TF Card & AUX (White & Maroon)",999,UBON,OSCAR,White & Maroon,On Ear,Wireless,,,,,,,,,,,
27,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
28,"GoSale Type C Earphone for Vivo V25 Pro / V 25 Pro Earphones Original Like Wired Noise Cancelling In-Ear Headphones Stereo Deep Bass Head Hands-free Headset Earbud With Type-C to 3.5mm Aux Audio Jack Built in-line Mic, Call Answer/End Button, Music (TYS, White)","1,299.",GoSale,,White TYS,In Ear,Wired,,,,"Sweatproof, Foldable, Microphone Included",,,,,,,
29,"Jabra Evolve2 40 UC Wired Headphones, USB-C, Stereo, Black – Telework Headset for Calls and Music, Enhanced All-Day Comfort, Passive Noise Cancelling Headphones, UC-Optimized with USB-C Connection","12,000",Jabra,Evolve2 40,Black,On Ear,Wired,,,,,,,,,,,
30,"Mivi Collar 2B Bluetooth Wireless in Ear Earphones, 24 Hours Playtime, IPX7 Water Proof, Booming Bass, Magnetic Buds, Bluetooth 5.0 with mic (Black)",899,Mivi,Collar 2B,Black,In Ear,Wireless,,,,,,,,,,,
31,"Mivi Collar Flash Bluetooth Wireless in Ear Earphones,24 Hours Battery Life, Booming Bass, IPX4 Sweat Proof, Passive Noise Cancellation, Bluetooth 5.0 with mic (Orange)",899,Mivi,Collar Flash,Orange,In Ear,Wireless,,,,,,,,,,,
