product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
https://www.amazon.in/boAt-Rockerz-558-Bluetooth-Headphones/dp/B0BVRGZ9FV/ref=sr_1_5?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-5,"boAt Rockerz 558 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Army Green)",4999.0,1799.0,boAt,Rockerz 550,Green,Over Ear,Bluetooth
https://www.amazon.in/CrossBeats-Roar-Headphones-Cancelling-Bluetooth/dp/B0BN1MBWV2/ref=sxin_16_aspa_sqa?c_c=282350261&content-id=amzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd%3Aamzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd&crid=26YCJ7VB7YLJ4&cv_ct_cx=headphones&keywords=headphones&pd_rd_i=B0BN1MBWV2&pd_rd_r=f8116dc2-3532-467f-883f-4b1a03d05e51&pd_rd_w=5kirW&pd_rd_wg=4iLIw&pf_rd_p=d6fc18b9-350a-43ef-bbf0-8a0340d151dd&pf_rd_r=K6HYQ2G8XRH369B47TFP&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C1567&sr=1-1-9e85f757-0438-470e-8160-8465beaa22d5,"CrossBeats Roar Hybrid ANC Headphones with 35db Active Noise Cancelling, Bluetooth Wireless Over Ear Headphones, 70hours Playtime,Fast Charge, Ambient Sound Mode,40mm Driver, Built-in Equalizer Black",9999.0,2999.0,CrossBeats,Roar,Free,Over Ear,Wireless
https://www.amazon.in/Sennheiser-HD-Headphones-Cancellation-Headphone/dp/B08D1CD3Q9/ref=sr_1_69?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-69,"Sennheiser HD 458 ANC Foldable Bluetooth Wireless Over Ear Headphones with Mic, Alexa Built-in - Active Noise Cancellation, 30-Hour Battery Life, USB-C Fast Charging (Black)",14990.0,8946.0,Sennheiser,Over Ear,Black & Red,Over Ear,Wireless
https://www.amazon.in/boAt-Airdopes-458-Sporty-Blue/dp/B09X75TDTB/ref=sr_1_75?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386789&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-75,"boAt Airdopes 458 TWS Wireless Earbuds with Spatial Bionic Sound by THX,in Ear Enx Tech,30H Playtime, Beast Mode, Signature Sound,ASAP Charge,IPX5, IWP,Touch Control(Sporty Blue)",4490.0,1799.0,boAt,Airdopes 458,Sporty Blue,In Ear,Bluetooth
https://www.amazon.in/Bluetooth-Wireless-Earphones-Bombastic-Launched/dp/B09TVV1TXL/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-33,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Beam Blue)",2299.0,1999.0,OnePlus,OnePlus Bullets Wireless Z2,Blue,nan,nan
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDAwMDQ0MDM4MDg5NjE6MTY4NDM4Njg3MDpzcF9hdGZfbmV4dDoyMDEyMzY0NDQyMTY5ODo6MDo6&url=%2FTangent-Bluetooth-Headphones-Assistant-Resistant%2Fdp%2FB0BSFNNZ5K%2Fref%3Dsr_1_26_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386870%26refinements%3Dp_89%253APTron%26rnid%3D3837712031%26s%3Delectronics%26sprefix%3D%252Caps%252C1567%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Headphones, 13mm Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black/Green)",1899.0,549.0,pTron,Tangent,Black/Green,nan,nan
https://www.amazon.in/Meyaar-Beex-Microphone-Experience-Case/dp/B08QDSP5XP/ref=sr_1_101?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-101,Meyaar Beex Series Earphones with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Game Experience for All Headphone with Carry Case (Black),999.0,239.0,Meyaar,Meyaar-Made-in-India-with-Case,With Carry Case,In Ear,Wired
https://www.amazon.in/Meyaar-Abhinandan-Earphones-Microphone-Headphones/dp/B095YV9T9W/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386812&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-77,"Meyaar Beex Abhinandan Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet (Metal White)",999.0,129.0,Meyaar,Abhinandan,Metal White,In Ear,Wired
https://www.amazon.in/Meyaar-SPN-SP-29-Perfume-Headset-Earphone/dp/B09GDMHPZS/ref=sr_1_99?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-99,"Meyaar SPN.SP-29 [Combo of 2] Ultra High Bass Perfume Headset, Wired in-Ear Earphone with Mic (2 Black)",999.0,259.0,Meyaar,SP-29,Black (2 Pack),In Ear,Wired
https://www.amazon.in/Launched-Bassbuds-Bluetooth-Headphones-Resistant/dp/B0C1PMDNHT/ref=sr_1_11?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-11,"PTron Newly Launched Bassbuds Neo TWS Earbuds, HD Mic & TruTalk ENC Calls, Game/Music Modes, 13mm Driver, 35Hrs Playtime, Bluetooth 5.3 Headphones, Type-C Fast Charging & IPX5 Water Resistant (Blue)",3199.0,899.0,pTron,Bassbuds,Blue,nan,nan
