Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"PTron Bassbuds Duo Bluetooth Headset  (Blue, True Wireless)",2599.0,1299.0,PTron,Bassbuds Duo,Blue,In Ear,Bluetooth
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Black,In Ear,Bluetooth
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)",2499.0,899.0,Noise,Nerve,Stone Blue,In Ear,Bluetooth
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)",1399.0,939.0,ZEBRONICS,Zeb-Thunder(Blue),Blue,On Ear,Bluetooth
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Forest Green, In the Ear)",2499.0,899.0,Noise,NNB-31,Forest Green,In Ear,Bluetooth
"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)",1290.0,499.0,boAt,Bassheads 103 Black,Black,In Ear,Wired
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Teal Green, In the Ear)",3990.0,1299.0,boAt,Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)",7499.0,2499.0,Skullcandy,S2DMW-P754,Orange,In Ear,Bluetooth
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Blue, In the Ear)",3199.0,899.0,PTron,Basspods Flare,Blue,In Ear,Bluetooth
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Cosmos Black, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Cosmos Black,In Ear,Bluetooth
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Fern Green,In Ear,Bluetooth
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)",4999.0,1499.0,Boult,Airbass Z40,White,In Ear,Bluetooth
"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)",12999.0,6499.0,Skullcandy,Indy Evo,Black,In Ear,Bluetooth
"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)",1399.0,949.0,ZEBRONICS,ZEB-THUNDER,Red,On Ear,Bluetooth
"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Jet Black, True Wireless)",2999.0,1099.0,Noise,Buds VS304,Jet Black,In Ear,Bluetooth
"ZEBRONICS Wired Headset Wired Headset  (Black, In the Ear)",399.0,255.0,ZEBRONICS,Wired Headset,Black,In Ear,Wired
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)",4990.0,1999.0,boAt,Rockerz 333ANC,Moon Grey,In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-BRO Headset with Mic,White,In Ear,Wired
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Black, In the Ear)",2499.0,1399.0,Skullcandy,S2JPW-M003,Black,In Ear,Bluetooth
"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)",1399.0,999.0,ZEBRONICS,Zeb Yoga 4,"Black, Yellow",In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",399.0,325.0,ZEBRONICS,ZEB-BRO,Red,In Ear,Wired
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)",2999.0,1299.0,Boult,Airbass Z35,Graphite Black,In Ear,Bluetooth
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)",5999.0,1299.0,Boult,xpods pro,Black,In Ear,Bluetooth
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,Royal Blue,In Ear,Bluetooth
"PTron Basspods 581 Bluetooth Headset  (Black & Yellow, True Wireless)",3799.0,1099.0,PTron,Basspods 581,Black & Yellow,In Ear,Bluetooth
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)",8999.0,1499.0,Boult,Air Bass Power Buds,Black,In Ear,Bluetooth
"Wings Phantom 205 Neckband with touch controls Bluetooth 5.3 Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,899.0,Wings,Phantom 205 Neck band with touch controls,Black,In Ear,Bluetooth
"Portronics Harmonics One Sports Bluetooth Headset  (Black, In the Ear)",1999.0,1084.0,Portronics,Harmonics One Sports,Black,In Ear,Bluetooth
"Skullcandy Jib Headset with mic  (White, In the Ear)",999.0,799.0,Skullcandy,S2DUYK-441 JIB,White,In Ear,Wired
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Blue, True Wireless)",5999.0,999.0,Boult,Gearpods Wireless Earphones,Blue,In Ear,Bluetooth
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On Ear,Bluetooth
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)",4990.0,1999.0,boAt,Rockerz 333ANC,Moon Grey,In Ear,Bluetooth
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)",4999.0,1599.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth
"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)",2999.0,1799.0,Portronics,Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In Ear,Bluetooth
"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)",1999.0,799.0,Portronics,Harmonics Z2 Wireless Stereo,Black,In Ear,Bluetooth
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1199.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,In Ear,Bluetooth
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)",2499.0,1199.0,PTron,InTunes Beats,Black,In Ear,Bluetooth
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)",13999.0,6599.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth
"Wings Phantom 410 Wireless Earbuds with Digital Battery Indicator & 70 Hrs Playtime Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,999.0,Wings,Phantom 410,Black,In Ear,Bluetooth
"Wings Phantom 200 Wireless Earbuds, LED, 40ms Low Latency, DNS Mic Headphones Bluetooth Gaming Headset  (Orange, In the Ear)",2999.0,1199.0,Wings,Phantom 200,Orange,In Ear,Bluetooth
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Black, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,Black,In Ear,Bluetooth
