Title,Actual_Price,Selling_Price,Model Name,Color,Connectivity,Headphone_Type
"PTron Bassbuds Duo Bluetooth Headset  (Blue, True Wireless)","₹2,599","₹1,299",Bassbuds Duo,Blue,Bluetooth,In Ear
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,499",₹799,ProBass EQCharge,Black,Bluetooth,In Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)","₹2,499",₹899,Nerve,Stone Blue,Bluetooth,In Ear
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)","₹1,399",₹939,Zeb-Thunder(Blue),Blue,Bluetooth,On Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Forest Green, In the Ear)","₹2,499",₹899,NNB-31,Forest Green,Bluetooth,In Ear
"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)","₹1,290",₹499,Bassheads 103 Black,Black,Wired,In Ear
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Teal Green, In the Ear)","₹3,990","₹1,299",Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,Bluetooth,In Ear
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)","₹7,499","₹2,499",S2DMW-P754,Orange,Bluetooth,In Ear
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Blue, In the Ear)","₹3,199",₹899,Basspods Flare,Blue,Bluetooth,In Ear
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Cosmos Black, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Cosmos Black,Bluetooth,In Ear
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Fern Green,Bluetooth,In Ear
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)","₹4,999","₹1,499",Airbass Z40,White,Bluetooth,In Ear
"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)","₹12,999","₹6,499",Indy Evo,Black,Bluetooth,In Ear
"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)","₹1,399",₹949,ZEB-THUNDER,Red,Bluetooth,On Ear
"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Jet Black, True Wireless)","₹2,999","₹1,099",Buds VS304,Jet Black,Bluetooth,In Ear
"ZEBRONICS Wired Headset Wired Headset  (Black, In the Ear)",₹399,₹255,Wired Headset,Black,Wired,In Ear
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-BRO Headset with Mic,White,Wired,In Ear
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,399",S2JPW-M003,Black,Bluetooth,In Ear
"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)","₹1,399",₹999,Zeb Yoga 4,"Black, Yellow",Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",₹399,₹325,ZEB-BRO,Red,Wired,In Ear
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)","₹2,999","₹1,299",Airbass Z35,Graphite Black,Bluetooth,In Ear
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)","₹5,999","₹1,299",xpods pro,Black,Bluetooth,In Ear
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Royal Blue,Bluetooth,In Ear
"PTron Basspods 581 Bluetooth Headset  (Black & Yellow, True Wireless)","₹3,799","₹1,099",Basspods 581,Black & Yellow,Bluetooth,In Ear
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)","₹8,999","₹1,499",Air Bass Power Buds,Black,Bluetooth,In Ear
"Wings Phantom 205 Neckband with touch controls Bluetooth 5.3 Bluetooth Gaming Headset  (Black, In the Ear)","₹2,999",₹899,Phantom 205 Neck band with touch controls,Black,Bluetooth,In Ear
"Portronics Harmonics One Sports Bluetooth Headset  (Black, In the Ear)","₹1,999","₹1,084",Harmonics One Sports,Black,Bluetooth,In Ear
"Skullcandy Jib Headset with mic  (White, In the Ear)",₹999,₹799,S2DUYK-441 JIB,White,Wired,In Ear
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Blue, True Wireless)","₹5,999",₹999,Gearpods Wireless Earphones,Blue,Bluetooth,In Ear
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,Bluetooth,On Ear
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,Bluetooth,In Ear
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)","₹4,999","₹1,599","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,Bluetooth,In Ear
"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)","₹2,999","₹1,799",Harmonics 250 Fast Charging with 60Hrs Playtime,Black,Bluetooth,In Ear
"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)","₹1,999",₹799,Harmonics Z2 Wireless Stereo,Black,Bluetooth,In Ear
