,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
0,"PTron Bassbuds Duo Bluetooth Headset  (Blue, True Wireless)","₹2,599","₹1,299",Bassbuds Duo,Blue,True Wireless,Yes,1 headphone,Bluetooth,Earbud,USB Charging Cable
1,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,499",₹799,ProBass EQCharge,Black,In the Ear,Yes,"1 Neckband, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
2,"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)","₹2,499",₹899,Nerve,Stone Blue,In the Ear,Yes,"1x Bluetooth Neckband, 1x Charging Cable, 2x Extra Eartips, 1x User Manual",Bluetooth,Behind the Neck,
3,"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)","₹1,399",₹939,Zeb-Thunder(Blue),Blue,On the Ear,No,1,Bluetooth,,
4,"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Forest Green, In the Ear)","₹2,499",₹899,NNB-31,Forest Green,In the Ear,Yes,"1x Bluetooth Neckband, 1x Charging Cable, 2x Extra Eartips, 1x User Manual",Bluetooth,Behind the Neck,
5,"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)","₹1,290",₹499,Bassheads 103 Black,Black,In the Ear,No,"Bassheads 103, Extra Earbuds, Warranty Card",Wired,,
6,"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Teal Green, In the Ear)","₹3,990","₹1,299",Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,In the Ear,Yes,"1 Headphone, Type-C Charging Cable, Additional Earbuds, User Manual, Warranty Card",Bluetooth,Magnetized Buds,
7,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)","₹7,499","₹2,499",S2DMW-P754,Orange,True Wireless,Yes,"Dime True Wireless Earbuds, Charging Case, Ear Gels (S, M, L), Micro- USB Charging Cable, User Guide",Bluetooth,Earbud,
8,"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Blue, In the Ear)","₹3,199",₹899,Basspods Flare,Blue,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
9,"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Cosmos Black, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Cosmos Black,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
10,"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Fern Green,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
11,"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)","₹4,999","₹1,499",Airbass Z40,White,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
12,"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)","₹12,999","₹6,499",Indy Evo,Black,True Wireless,Yes,"Earbuds, USB Charging Cable, User Guide",Bluetooth,Earbud,
13,"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)","₹1,399",₹949,ZEB-THUNDER,Red,On the Ear,No,"1 x USB CABLE, 1 x user manual, 1 x Bluetooth Headphone",Bluetooth,,
14,"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Jet Black, True Wireless)","₹2,999","₹1,099",Buds VS304,Jet Black,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
15,"ZEBRONICS Wired Headset Wired Headset  (Black, In the Ear)",₹399,₹255,Wired Headset,Black,In the Ear,No,1 Headset,Wired,Earbud,
16,"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
17,"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-BRO Headset with Mic,White,In the Ear,No,1 pair of headphone,Wired,,
18,"Skullcandy Jib Plus Wireless Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,399",S2JPW-M003,Black,In the Ear,Yes,"User Guide, Earphone, USB Cable",Bluetooth,,
19,"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)","₹1,399",₹999,Zeb Yoga 4,"Black, Yellow",True Wireless,No,01 Unit Neckband x 01 charging cable x 01 user manual x 01 extra earbuds,Bluetooth,Behind the Neck,
20,"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",₹399,₹325,ZEB-BRO,Red,In the Ear,Yes,1 X WIRED HEADPHONE,Wired,,
21,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)","₹2,999","₹1,299",Airbass Z35,Graphite Black,True Wireless,No,"1 Pair Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
22,"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)","₹5,999","₹1,299",xpods pro,Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Additional Pair of Eartips, Charging Cable, User Manual",Bluetooth,Earbud,
23,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Royal Blue,In the Ear,No,"1 Pair of Earbuds with Charging Case, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
24,"PTron Basspods 581 Bluetooth Headset  (Black & Yellow, True Wireless)","₹3,799","₹1,099",Basspods 581,Black & Yellow,True Wireless,Yes,1 pair of headphone,Bluetooth,Earbud,
25,"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)","₹8,999","₹1,499",Air Bass Power Buds,Black,True Wireless,Yes,"1 Pair of Earbuds, Charging Case, Extra Pair of Buds, Micro USB Charging Cable, User Manual",Bluetooth,Earbud,
26,"Wings Phantom 205 Neckband with touch controls Bluetooth 5.3 Bluetooth Gaming Headset  (Black, In the Ear)","₹2,999",₹899,Phantom 205 Neck band with touch controls,Black,In the Ear,No,"1 Headphone, Cable, Eartips, User Manual",Bluetooth,Behind the Neck,
27,"Portronics Harmonics One Sports Bluetooth Headset  (Black, In the Ear)","₹1,999","₹1,084",Harmonics One Sports,Black,In the Ear,Yes,"1 headphone, Charging Cable, Earbuds, User Manual",Bluetooth,Behind the Neck,
28,"Skullcandy Jib Headset with mic  (White, In the Ear)",₹999,₹799,S2DUYK-441 JIB,White,In the Ear,Yes,1 headset,Wired,Canalphone,
29,"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Blue, True Wireless)","₹5,999",₹999,Gearpods Wireless Earphones,Blue,True Wireless,Yes,1 Pair of Earbuds Charging Case Type-C charging cable Instruction Manual,Bluetooth,Earbud,
30,"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On the Ear,No,"1 Headphone, Type-C Charging Cable, Aux Cable, User Manual, Warranty Card",Bluetooth,Over the Head,
31,"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
32,"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)","₹4,999","₹1,599","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,True Wireless,No,"1 Pair of Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
33,"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)","₹2,999","₹1,799",Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In the Ear,Yes,"Headphone 1N, Charging Cable 1N",Bluetooth,Behind the Neck,USB Charging Cable
34,"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)","₹1,999",₹799,Harmonics Z2 Wireless Stereo,Black,In the Ear,Yes,"1 headphone, Charging Cable, User Manual",Bluetooth,Behind the Neck,USB Charging Cable
35,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Snow White, True Wireless)","₹3,999","₹1,199","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
36,"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,199",InTunes Beats,Black,In the Ear,Yes,1 Unit,Bluetooth,Magnetized Buds,
37,"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)","₹13,999","₹6,599","Push Active True Wireless Earbuds, Voice Control",Blue/Grey,True Wireless,No,"Push Active True Wireless Earbuds Charging Case Ear Gels (S, M, L) USB-C Charging Cable User Guide 1-Year Limited Warranty",Bluetooth,Earbud,
38,"Wings Phantom 410 Wireless Earbuds with Digital Battery Indicator & 70 Hrs Playtime Bluetooth Gaming Headset  (Black, True Wireless)","₹2,999",₹999,Phantom 410,Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
39,"Wings Phantom 200 Wireless Earbuds, LED, 40ms Low Latency, DNS Mic Headphones Bluetooth Gaming Headset  (Orange, In the Ear)","₹2,999","₹1,199",Phantom 200,Orange,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
40,"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Black, True Wireless)","₹5,999",₹999,AirBass GearPods,Black,True Wireless,Yes,1 Pair of Earbuds Charging Case Type-C charging cable Instruction Manual,Bluetooth,Earbud,
41,"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)","₹2,499",₹899,Nerve Neckband,Carbon Black,In the Ear,Yes,"1x Bluetooth Neckband, 1x Charging Cable, 2x Extra Eartips, 1x User Manual",Bluetooth,Behind the Neck,
42,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Sunset Grey, True Wireless)","₹2,999","₹1,299",Airbass Z35,Sunset Grey,True Wireless,No,"1 Pair Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
