product_key,product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
0,https://www.amazon.in/boAt-Rockerz-558-Bluetooth-Headphones/dp/B0BVRGZ9FV/ref=sr_1_5?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-5,boat rockerz 558 bluetooth wireless over ear headphone with mic upto 20 hour playback 50 mm driver soft padded ear cushion and physical noise isolationarmy green,4999.0,1799.0,boat,rockerz 550,green,over ear,bluetooth
1,https://www.amazon.in/CrossBeats-Roar-Headphones-Cancelling-Bluetooth/dp/B0BN1MBWV2/ref=sxin_16_aspa_sqa?c_c=282350261&content-id=amzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd%3Aamzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd&crid=26YCJ7VB7YLJ4&cv_ct_cx=headphones&keywords=headphones&pd_rd_i=B0BN1MBWV2&pd_rd_r=f8116dc2-3532-467f-883f-4b1a03d05e51&pd_rd_w=5kirW&pd_rd_wg=4iLIw&pf_rd_p=d6fc18b9-350a-43ef-bbf0-8a0340d151dd&pf_rd_r=K6HYQ2G8XRH369B47TFP&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C1567&sr=1-1-9e85f757-0438-470e-8160-8465beaa22d5,crossbeats roar hybrid anc headphone with 35db active noise cancel bluetooth wireless over ear headphone 70hours playtimefast charge ambient sound mode40 mm driver builtin equalizer black,9999.0,2999.0,crossbeat,roar,free,over ear,wireless
2,https://www.amazon.in/Sennheiser-HD-Headphones-Cancellation-Headphone/dp/B08D1CD3Q9/ref=sr_1_69?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-69,sennheiser hd 458 anc foldable bluetooth wireless over ear headphone with mic alexa builtin active noise cancellation 30hour battery life usbc fast charge black,14990.0,8946.0,sennheiser,over ear,black red,over ear,wireless
3,https://www.amazon.in/boAt-Airdopes-458-Sporty-Blue/dp/B09X75TDTB/ref=sr_1_75?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386789&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-75,boat airdope 458 tws wireless earbud with spatial bionic sound by thxin ear enx tech30h playtime beast mode signature soundasap chargeipx5 iwptouch controlsporty blue,4490.0,1799.0,boat,airdopes 458,sporty blue,in ear,bluetooth
4,https://www.amazon.in/Bluetooth-Wireless-Earphones-Bombastic-Launched/dp/B09TVV1TXL/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-33,oneplus bullet z2 bluetooth wireless in ear earphone with mic bombastic bass 124 mm driver 10 min charge 20 hrs music 30 hrs battery life beam blue,2299.0,1999.0,oneplus,oneplus bullet wireless z2,blue,nan,nan
5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDAwMDQ0MDM4MDg5NjE6MTY4NDM4Njg3MDpzcF9hdGZfbmV4dDoyMDEyMzY0NDQyMTY5ODo6MDo6&url=%2FTangent-Bluetooth-Headphones-Assistant-Resistant%2Fdp%2FB0BSFNNZ5K%2Fref%3Dsr_1_26_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386870%26refinements%3Dp_89%253APTron%26rnid%3D3837712031%26s%3Delectronics%26sprefix%3D%252Caps%252C1567%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ptron tangent duo bluetooth 52 wireless in ear headphone 13 mm driver deep bass hd call fast charge typec neckband dual pair voice assistant ipx4 water resistant blackgreen,1899.0,549.0,ptron,tangent,blackgreen,nan,nan
6,https://www.amazon.in/Meyaar-Beex-Microphone-Experience-Case/dp/B08QDSP5XP/ref=sr_1_101?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-101,meyaar beex series earphone with super heavy bass 90noise isolating earbud with microphone and game experience for all headphone with carry case black,999.0,239.0,meyaar,meyaarmadeinindiawithcase,with carry case,in ear,wire
7,https://www.amazon.in/Meyaar-Abhinandan-Earphones-Microphone-Headphones/dp/B095YV9T9W/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386812&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-77,meyaar beex abhinandan wire durable metal earphone earbud with microphone deep bass clear sound noise isolate in ear headphone stereo ear bud for cell phone laptop tablet metal white,999.0,129.0,meyaar,abhinandan,metal white,in ear,wire
8,https://www.amazon.in/Meyaar-SPN-SP-29-Perfume-Headset-Earphone/dp/B09GDMHPZS/ref=sr_1_99?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-99,meyaar spnsp29 combo of 2 ultra high bass perfume headset wire inear earphone with mic 2 black,999.0,259.0,meyaar,sp29,black 2 pack,in ear,wire
9,https://www.amazon.in/Launched-Bassbuds-Bluetooth-Headphones-Resistant/dp/B0C1PMDNHT/ref=sr_1_11?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-11,ptron newly launch bassbuds neo tws earbuds hd mic trutalk enc call gamemusic mode 13 mm driver 35hrs playtime bluetooth 53 headphone typec fast charge ipx5 water resistant blue,3199.0,899.0,ptron,bassbud,blue,nan,nan
