product_key,product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
0,https://www.flipkart.com/sony-ex255ap-wired-headset/p/itm6918ffbba1386?pid=ACCEVAEWHAGE5ZPE&lid=LSTACCEVAEWHAGE5ZPEVRRNGN&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCEVAEWHAGE5ZPE.SEARCH&ppt=sp&ppn=sp&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,sony ex255ap wire headset blue in the ear,1990.0,1699.0,sony,mdrex255ap,blue,in ear,wire
1,https://www.flipkart.com/boat-bassheads-103-black-wired-headset/p/itmcef2a10b6ea14?pid=ACCFGYHGGDCFYCA3&lid=LSTACCFGYHGGDCFYCA3Y4KOPR&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCFGYHGGDCFYCA3.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,boat basshead 103 black wire headset black in the ear,1290.0,499.0,boat,basshead 103 black,black,in ear,wire
2,https://www.flipkart.com/meyaar-dragon-series-metal-in-ear-headset-mi-note-8-pro-wired/p/itm4a9cd2330187c?pid=ACCFTYNWTRGCXFFW&lid=LSTACCFTYNWTRGCXFFWIKMX4C&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_13&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFTYNWTRGCXFFW.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,meyaar dragonserie metal inear headset for mi note 8 pro wire headset black in the ear,799.0,215.0,meyaar,dragonserie metal inear headset for mi note 8 pro,black,in ear,wire
3,https://www.flipkart.com/wings-phantom-wireless-earbuds-50ms-low-latency-game-mode-5-3-bluetooth-headset/p/itm35312d3099ce5?pid=ACCGF8EWXCCWXWJZ&lid=LSTACCGF8EWXCCWXWJZFJWXBE&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&spotlightTagId=FkPickId_0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=3576b5c2-3b37-48a0-ba59-19c844e74621.ACCGF8EWXCCWXWJZ.SEARCH&ppt=sp&ppn=sp&ssid=otvdpaikk00000001684390031295&qH=e9698ba16f3a3269,wing phantom wireless earbud with 50ms low latency game mode 53 bluetooth headset black true wireless,4999.0,999.0,wing,wlphantomblk,black,in ear,bluetooth
4,https://www.flipkart.com/portronics-harmonics-250-fast-charging-60hrs-playtime-bluetooth-headset/p/itm1143a63f92416?pid=ACCGBH958FFBGZSY&lid=LSTACCGBH958FFBGZSYQ555FL&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_6&otracker=search&otracker1=search&iid=5853baf6-4605-4157-ab5c-f4cdd898e548.ACCGBH958FFBGZSY.SEARCH&ssid=mwwn0wbvog0000001684390003142&qH=e9698ba16f3a3269,portronic harmonic 250 fast charging with 60hrs playtime bluetooth headset black in the ear,2999.0,899.0,portronic,harmonic 250 fast charging with 60hrs playtime,black,in ear,bluetooth
5,https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/p/itm2905dfd0be40c?pid=ACCFSDGXX3S6DVBG&lid=LSTACCFSDGXX3S6DVBGIAXPYM&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_34&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCFSDGXX3S6DVBG.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,boat airdope 131 with upto 60 hour and asap charge bluetooth headset active black true wireless,2990.0,1199.0,boat,airdope 131,active black,in ear,bluetooth
6,https://www.flipkart.com/zebronics-zeb-buds-20-wired-headset/p/itm31771302d8815?pid=ACCGFQ54QMHYEGMH&lid=LSTACCGFQ54QMHYEGMHSVT69G&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_31&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCGFQ54QMHYEGMH.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,zebronic zebbud 20 wire headset black in the ear,599.0,349.0,zebronic,zebbuds 20,black,in ear,wire
7,https://www.flipkart.com/meyaar-pilot-series-bluetooth-headphones-high-bass-boom-mic-wired-gaming-headset/p/itmf202fc1a71d6d?pid=ACCFU89E9VQYMW5B&lid=LSTACCFU89E9VQYMW5BKBLJJG&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_11&otracker=search&otracker1=search&fm=Search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFU89E9VQYMW5B.SEARCH&ppt=sp&ppn=sp&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,meyaar pilot series bluetooth headphone with high bass boom mic bluetooth wire gaming headset metal black on the ear,2399.0,1859.0,meyaar,pilot series bluetooth headphone with high bass boom mic,metal black,on ear,bluetooth wire
8,https://www.flipkart.com/wings-phantom-860-earbuds-game-mode-50-hrsplaytime-quad-enc-mic-app-support-bluetooth-gaming-headset/p/itm172173182e4c8?pid=ACCGH3VMRHNU3YA6&lid=LSTACCGH3VMRHNU3YA6H5RNUG&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_5&otracker=search&otracker1=search&iid=3576b5c2-3b37-48a0-ba59-19c844e74621.ACCGH3VMRHNU3YA6.SEARCH&ssid=otvdpaikk00000001684390031295&qH=e9698ba16f3a3269,wing phantom 860 earbud with game mode 50 hrsplaytime quad enc mic app support bluetooth gaming headset black true wireless,2999.0,1499.0,wing,wlphantom860blk,black,in ear,bluetooth
9,https://www.flipkart.com/boat-rockerz-551-anc-hybrid-anc-100-hrs-playback-40mm-drivers-asap-charge-bluetooth-headset/p/itmbd436ac6c4964?pid=ACCGZYG5EDAVXZQ8&lid=LSTACCGZYG5EDAVXZQ89IQVU0&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_39&otracker=search&otracker1=search&iid=d5a3ae87-0897-4a79-9bb8-54f0edc1114f.ACCGZYG5EDAVXZQ8.SEARCH&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,boat rockerz 551 anc with hybrid anc 100 hrs playback 40 mm driver asap charge bluetooth headset stellar black on the ear,7990.0,3499.0,boat,rockerz 551 anc,stellar black,on ear,bluetooth
