,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
0,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
1,"Jabra Engage 65 Wireless Headset, Mono – Telephone Headset with Industry-Leading Wireless Performance, Advanced Noise-Cancelling Microphone, Call Center Headset with All Day Battery Life","₹77,914","57,914",Jabra,Engage 65 Mono,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
2,"Jabra Elite 3 in Ear Bluetooth Truly Wireless in Ear Earbuds, Noise Isolating with mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode - Dark Grey","₹6,999","4,499",Jabra,Elite 3,Dark Grey,,,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,
3,"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver, Built in Microphone and Type C(Blue)","₹3,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (Blue),Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
4,"(Renewed) boAt Airdopes 402 Bluetooth Truly Wireless In Ear Earbuds with Bluetooth V5.0, Advanced Touch Controls, Instant Voice Assistant, Up to 16H Total Playtime and IPX4 Water Resistance with mic (Active Black)",NaN,,boAt,Boat Airdopes 408,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
5,"Zebronics Zeb-Lark Metallic Wireless in Ear Neckband Earphone with BT 5.0, Rapid Fast Charging (Metallic Red)","₹1,449",799,ZEBRONICS,ZEB-LARK,Metallic Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
6,"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones (Gunmetal Black) & Wave Call Smart Watch, Smart Talk (Active Black) & Xtend Talk with Advanced Dedicated Bluetooth Calling Chip,(Teal Green)",NaN,,boAt,,Gunmetal Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
7,"Skullcandy Dime True Wireless in-Ear Bluetooth Earbuds Compatible with iPhone and Android/Charging Case and Microphone/Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Dark Green","₹7,499","2,688",Skullcandy,Dime,Blue Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
8,"Noise Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental Cancellation with Dual mic, Fast Charging (Stone Blue)","₹3,999","1,799",Noise,Flair,Stone Blue,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
9,Meyaar Beex Series Earphones with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Game Experience for All Headphone with Carry Case (Black),₹999,239,Meyaar,Meyaar-Made-in-India-with-Case,With Carry Case,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
