product_link,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones form factor,Connector Type,Form Factor,Connectivity technologies,Material,Compatible Devices,Item Dimensions LxWxH,Connectivity Technology,Wireless Communication Technology,Special Feature,Mounting Hardware,Series,Included Components
https://www.amazon.in/Renewed-Skullcandy-Wireless-Earbuds-Black/dp/B09TNDV8DC/ref=sr_1_69?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386862&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-69,(Renewed) Skullcandy Dime 2 True Wireless In Ear Earbuds (Black),NaN,,Skullcandy,Dime 2 TWS,Black,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/boAt-Rockerz-558-Bluetooth-Headphones/dp/B0BVRGZ9FV/ref=sr_1_5?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-5,"boAt Rockerz 558 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Army Green)","₹4,999","1,799",boAt,Rockerz 550,Green,Over Ear,Bluetooth,,,,,,,,,,,
https://www.amazon.in/CrossBeats-Roar-Headphones-Cancelling-Bluetooth/dp/B0BN1MBWV2/ref=sxin_16_aspa_sqa?c_c=282350261&content-id=amzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd%3Aamzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd&crid=26YCJ7VB7YLJ4&cv_ct_cx=headphones&keywords=headphones&pd_rd_i=B0BN1MBWV2&pd_rd_r=f8116dc2-3532-467f-883f-4b1a03d05e51&pd_rd_w=5kirW&pd_rd_wg=4iLIw&pf_rd_p=d6fc18b9-350a-43ef-bbf0-8a0340d151dd&pf_rd_r=K6HYQ2G8XRH369B47TFP&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C1567&sr=1-1-9e85f757-0438-470e-8160-8465beaa22d5,"CrossBeats Roar Hybrid ANC Headphones with 35db Active Noise Cancelling, Bluetooth Wireless Over Ear Headphones, 70hours Playtime,Fast Charge, Ambient Sound Mode,40mm Driver, Built-in Equalizer Black","₹9,999","2,999",CrossBeats,Roar,Free,Over Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/Sennheiser-HD-Headphones-Cancellation-Headphone/dp/B08D1CD3Q9/ref=sr_1_69?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-69,"Sennheiser HD 458 ANC Foldable Bluetooth Wireless Over Ear Headphones with Mic, Alexa Built-in - Active Noise Cancellation, 30-Hour Battery Life, USB-C Fast Charging (Black)","₹14,990","8,946",Sennheiser,Over Ear,Black & Red,Over Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/boAt-Airdopes-458-Sporty-Blue/dp/B09X75TDTB/ref=sr_1_75?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386789&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-75,"boAt Airdopes 458 TWS Wireless Earbuds with Spatial Bionic Sound by THX,in Ear Enx Tech,30H Playtime, Beast Mode, Signature Sound,ASAP Charge,IPX5, IWP,Touch Control(Sporty Blue)","₹4,490","1,799",boAt,Airdopes 458,Sporty Blue,In Ear,Bluetooth,,,,,,,,,,,
https://www.amazon.in/Renewed-Skullcandy-Wireless-Earbuds-Green/dp/B0B5T2NKZW/ref=sr_1_74?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-74,(Renewed) Skullcandy Dime 2 True Wireless Earbuds (Dark Green),NaN,,Skullcandy,Dime 2 TWS,Green,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/Bluetooth-Wireless-Earphones-Bombastic-Launched/dp/B09TVV1TXL/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-33,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Beam Blue)","₹2,299","1,999",OnePlus,OnePlus Bullets Wireless Z2,Blue,,,In Ear,Wireless,,,,,,,,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDAwMDQ0MDM4MDg5NjE6MTY4NDM4Njg3MDpzcF9hdGZfbmV4dDoyMDEyMzY0NDQyMTY5ODo6MDo6&url=%2FTangent-Bluetooth-Headphones-Assistant-Resistant%2Fdp%2FB0BSFNNZ5K%2Fref%3Dsr_1_26_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386870%26refinements%3Dp_89%253APTron%26rnid%3D3837712031%26s%3Delectronics%26sprefix%3D%252Caps%252C1567%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Headphones, 13mm Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black/Green)","₹1,899",549,pTron,Tangent,Black/Green,,,In Ear,Wireless,,,,,,,,,
https://www.amazon.in/Skullcandy-Bluetooth-Wireless-Resistant-Isolating/dp/B09JMJDN4Q/ref=sr_1_57?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386862&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-57,"(Renewed) Skullcandy Dime Bluetooth Truly Wireless in Ear Earbuds with Mic with 12 Hours Total Battery, Ipx4 Sweat and Water Resistant, Secure Noise Isolating Fit (Golden Orange)",NaN,,Skullcandy,Dime TWS,Golden Orange,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/Airdopes-Technology-Immersive-Resistance-Bumblebee/dp/B09G71ZSFK/ref=sr_1_120?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386791&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-120,"(Renewed) boAt Airdopes 441 TWS Wireless In Ear EarBuds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit(Bumblebee Yellow)",NaN,,boAt,441 TWS cr,Yellow,In Ear,Wireless,,,,,,,,,,,
